time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-18T18:13:09.293Z,36.392,36.4912,10,4.6,mwr,121,29,0.969,0.77,us,us6000ja6e,2023-02-28T23:06:27.040Z,"7 km NE of Uzunkavak, Turkey",earthquake,5.04,1.868,0.08,15,reviewed,us,us
2022-12-23T17:23:31.395Z,37.1006,37.0917,25.656,4.1,mb,32,89,0.118,0.81,us,us6000jbbd,2023-02-28T23:06:48.040Z,"26 km W of Gaziantep, Turkey",earthquake,4.87,6.518,0.234,7,reviewed,us,us
2022-12-27T16:33:16.993Z,40.0075,42.2048,13.14,4.4,mb,43,63,1.311,0.6,us,us7000j0eh,2023-03-07T18:59:53.040Z,"4 km SE of Horasan, Turkey",earthquake,3.69,4.804,0.135,16,reviewed,us,us
2022-12-28T07:45:13.227Z,41.197,34.1385,12.346,4.1,mb,33,45,0.35,0.9,us,us7000j0l0,2023-03-07T18:59:55.040Z,"21 km NNE of Tosya, Turkey",earthquake,4.33,4.96,0.214,6,reviewed,us,us
2023-01-07T01:52:58.152Z,39.389,26.1735,10,4.8,mwr,82,47,1.497,0.83,us,us7000j2pq,2023-03-11T22:51:44.040Z,"2 km N of Míthymna, Greece",earthquake,2.29,1.829,0.054,33,reviewed,us,us
2023-01-07T06:39:29.727Z,39.4132,26.1996,12.538,4.6,mwr,94,74,1.475,0.78,us,us7000j2re,2023-03-11T22:51:44.040Z,"Near the coast of western Turkey",earthquake,5.85,4.988,0.08,15,reviewed,us,us
2023-01-10T07:38:31.557Z,39.4874,26.2503,10,4.9,mwr,79,33,0.909,0.8,us,us7000j3cr,2023-03-20T06:03:12.040Z,"7 km W of Behram, Turkey",earthquake,4.77,1.866,0.066,22,reviewed,us,us
2023-01-11T09:52:28.318Z,37.943,27.3214,10,3.2,ml,13,102,1.117,0.71,us,us7000j3tr,2023-03-20T06:03:25.040Z,"4 km WSW of Selçuk, Turkey",earthquake,3.1,1.975,0.085,18,reviewed,us,us
2023-01-15T03:36:28.029Z,38.4311,39.156,10,4.7,mb,78,51,0.921,1.02,us,us7000j4gh,2023-03-31T19:44:19.040Z,"13 km W of Sivrice, Turkey",earthquake,4.32,1.831,0.07,63,reviewed,us,us
2023-01-18T10:08:14.166Z,38.4334,44.9458,19.102,5.7,mww,195,59,1.192,0.64,us,us7000j56z,2023-03-31T19:45:07.040Z,"12 km S of Khowy, Iran",earthquake,5.45,3.772,0.069,20,reviewed,us,us
