brand,model,details,price,currency,shipping_cost,movement,case_material,year_of_production,condition,reference_number,scope_of_delivery,location,case_diameter,product_url,dealer_city,dealer_country,country_code
Rolex,Datejust 41,126331 41mm Two Tone Chocolate Diamond Dial Jubilee Unworn 2024,19995.0,$,500,Automatic,Gold/Steel,2024,Like new & unworn,126331,"Original box, original papers","United States of America, New York, Brooklyn",41.0,https://www.chrono24.com/rolex/rolex-datejust-126331-41mm-two-tone-chocolate-diamond-dial-jubilee-unworn-2024--id26225634.htm,Brooklyn,United States of America.,US
Rolex,Datejust 36,In Stock 2024 Datejust 36 Blue Index Dial 126200 Oyster Bracelet,8395.0,$,175,Automatic,Steel,2024,Very good,126200,"Original box, original papers","United States of America, Florida, Fort Lauderdale",36.0,https://www.chrono24.com/rolex/in-stock-2024-datejust-36-blue-index-dial-126200-oyster-bracelet--id39391194.htm,Fort Lauderdale,United States of America.,US
Omega,Speedmaster Professional Moonwatch,2025 New Speedmaster Moonwatch,5500.0,$,99,Manual winding,Steel,2025,New,310.30.42.50.01.001,"Original box, original papers","United States of America, Los Angeles",42.0,https://www.chrono24.com/omega/2025-new-speedmaster-moonwatch--id39530844.htm,Los Angeles,United States of America.,US
Tudor,Grantour Date,Pre-Owned Grantour Date 20500N White with box and papers,2190.0,$,0,Automatic,Steel,2012,Very good,20500N,"Original box, original papers","United States of America, California, San Diego",42.0,https://www.chrono24.com/tudor/tudor-pre-owned-grantour-date-20500n-white-with-box-and-papers--id39398804.htm,Tsim Sha Tsui,Hong Kong.,HK
Panerai,Submersible,300M Grey Blue Ceramic Bezel Rubber Strap Pam959 Diver,5895.0,$,239,Automatic,Steel,2019,Good,PAM 00959,"Original box, no original papers","United States of America, Wisconsin, Jefferson",42.0,https://www.chrono24.com/panerai/panerai-submersible-300m-grey-blue-ceramic-bezel-rubber-strap-pam959-diver--id38374080.htm,Jefferson,United States of America.,US
Tudor,Submariner,Ref. 75090 / Excellent / Box & Papers,4650.0,$,150,Automatic,Steel,1994,Very good,75090,"Original box, original papers","United States of America, California, Huntington Beach",36.0,https://www.chrono24.com/tudor/submariner-ref-75090--excellent--box--papers--id39009015.htm,Huntington Beach,United States of America.,US
Patek Philippe,Complications,2025 New 5172G - Complications Rose-Gilt Opaline Dial 18K White Gold 41 mm,68661.0,$,0,Manual winding,White gold,2025,New,5172G-010,"Original box, original papers","United States of America, New York, New York",41.0,https://www.chrono24.com/patekphilippe/patek-philippe-2025-new-5172g---complications-rose-gilt-opaline-dial-18k-white-gold-41-mm--id37882465.htm,New York,United States of America.,US
Rolex,GMT-Master,Red and Black Coke 40mm Oyster Bracelet Year 1991 | FULL SET,11000.0,$,150,Automatic,Steel,1991,Good,16700,"Original box, original papers","United States of America, Florida, Ft Lauderdale",40.0,https://www.chrono24.com/rolex/rolex-gmt-master-red-and-black-coke-40mm-oyster-bracelet-year-1991--full-set--id33733188.htm,Ft Lauderdale,United States of America.,US
Tudor,Black Bay Chrono,Chronograph “Panda” 79360N 2022 Box & Papers,3865.0,$,200,Automatic,Steel,2022,Very good,79360N-0002,"Original box, original papers","United States of America, Virginia, Henrico",41.0,https://www.chrono24.com/tudor/tudor-black-bay-chronograph-panda-79360n-2022-box--papers--id39542634.htm,Henrico,United States of America.,US
Rolex,Datejust 36,16013,4899.0,$,150,Automatic,Gold/Steel,1981,Good,16013,"No original box, no original papers","United States of America, Austin",36.0,https://www.chrono24.com/rolex/datejust-36--id38638855.htm,Austin,United States of America.,US
Vacheron Constantin,Overseas Chronograph,Rose Gold Green Dial BNIB,88999.0,$,250,Automatic,Rose gold,2024,New,5520V/210R-B966,"Original box, original papers","United States of America, California, Woodland Hills",42.5,https://www.chrono24.com/vacheronconstantin/overseas-chronograph-rose-gold-green-dial-bnib--id36973567.htm,Woodland Hills,United States of America.,US
Rolex,Datejust 36,16030 36mm Silver Dial (Jubilee Bracelet),4799.0,$,"1,000",Automatic,Steel,-,Good,16030,"No original box, no original papers","United States of America, New York, NY",36.0,https://www.chrono24.com/rolex/rolex-datejust-36-16030-36mm-silver-dial-jubilee-bracelet--id38492815.htm,NY,United States of America.,US
Patek Philippe,Annual Calendar Chronograph,2025 New 5961R - Complications Ebony black opaline Dial 18K Rose gold 40.5 mm,157142.0,$,0,Automatic,Rose gold,2025,New,5961R-010,"Original box, original papers","United States of America, New York, New York",40.5,https://www.chrono24.com/patekphilippe/patek-philippe-2025-new-5961r---complications-ebony-black-opaline-dial-18k-rose-gold-405-mm--id37882316.htm,New York,United States of America.,US
Panerai,Submersible,2024 New Submersible,6990.0,$,99,Automatic,Steel,2024,New,PAM 01973,"Original box, original papers","United States of America, Los Angeles",42.0,https://www.chrono24.com/panerai/2024-new-submersible--id37920744.htm,Los Angeles,United States of America.,US
Rolex,Datejust 36,Steel White Gold Silver Linen Dial Jubilee Mens Watch 16234,5990.0,$,129,Automatic,Steel,1989,Very good,16234,"Original box, no original papers","United States of America, Florida, Aventura",36.0,https://www.chrono24.com/rolex/rolex-datejust-36-steel-white-gold-silver-linen-dial-jubilee-mens-watch-16234--id38582525.htm,Aventura,United States of America.,US
Panerai,Luminor Luna Rossa,3 Days White Dial Steel Manual 44mm Set Pam01342,5755.0,$,239,Manual winding,Steel,2023,Very good,PAM1342,"Original box, original papers","United States of America, Wisconsin, Jefferson",44.0,https://www.chrono24.com/panerai/panerai-luminor-luna-rossa-3-days-white-dial-steel-manual-44mm-set-pam01342--id38690273.htm,Jefferson,United States of America.,US
Rolex,Datejust 36,Ref. 16234 / Excellent Example,5350.0,$,150,Automatic,Steel,1989,Very good,16234,"No original box, no original papers","United States of America, California, Huntington Beach",36.0,https://www.chrono24.com/rolex/rolex-datejust-36-ref-16234--excellent-example--id39008402.htm,Huntington Beach,United States of America.,US
Zenith,Chronomaster Sport,41mm White 03.3100.3600/69.M3100,7375.0,$,165,Automatic,Steel,2022,Very good,03.3100.3600/69.M3100,"Original box, original papers","United States of America, New Jersey, Oradell",41.0,https://www.chrono24.com/zenith/zenith-chronomaster-sport-41mm-white-033100360069m3100--id39143444.htm,Oradell,United States of America.,US
Audemars Piguet,Royal Oak Offshore Diver,15703stooa002ca01,17900.0,$,199,Automatic,Steel,2013,Very good,15703stooa002ca01,"Original box, original papers","United States of America, New York, New York",42.0,https://www.chrono24.com/audemarspiguet/royal-oak-offshore-diver--id37444930.htm,New York,United States of America.,US
Rolex,Sea-Dweller,In Stock 2021 Sea-Dweller Black Dial Red Letters 126600 Oyster Bracelet,12295.0,$,175,Automatic,Steel,2021,Very good,126600,"Original box, original papers","United States of America, Fort Lauderdale",43.0,https://www.chrono24.com/rolex/in-stock-2021-sea-dweller-black-dial-red-letters-126600-oyster-bracelet--id39102904.htm,Fort Lauderdale,United States of America.,US
Rolex,Submariner Date,1985 Submariner 40mm 16800 Stainless Steel Black Dial,8480.0,$,400,Automatic,Steel,1985,Very good,16800,"Original box, no original papers","United States of America, Michigan, Oak Park, MI",40.0,https://www.chrono24.com/rolex/rolex-1985-submariner-40mm-16800-stainless-steel-black-dial--id38986618.htm,Oak Park,United States of America.,US
Omega,Seamaster Aqua Terra,220.12.41.21.06.001,3995.0,$,99,Automatic,Steel,2021,Good,220.12.41.21.06.001,"Original box, original papers","United States of America, Weston",41.0,https://www.chrono24.com/omega/seamaster-aqua-terra--id38390255.htm,Weston,United States of America.,US
Jaeger-LeCoultre,Reverso Classique,Classic Medium Steel Q2438520 213.8.62 Manual Winding Strap,5999.0,$,219,Manual winding,Steel,2018,Very good,Q2438520,"Original papers, no original box","United States of America, Ohio, Mason",42.9,https://www.chrono24.com/jaegerlecoultre/jaeger-lecoultre-reverso-classic-medium-steel-q2438520-213862-manual-winding-strap--id37996167.htm,Mason,United States of America.,US
Omega,Seamaster,Automatic Bumper Gold/Steel Mens Vntage Watch Ref 2637,1899.0,$,0,Automatic,Gold/Steel,1950,Good,2637,"No original box, no original papers","United States of America, Utah, DRAPER",35.0,https://www.chrono24.com/omega/omega-omega-seamaster-automatic-bumper-goldsteel-mens-vntage-watch-ref-2637--id34548146.htm,DRAPER,United States of America.,US
Rolex,Day-Date 36,36mm MOP Diamond Dial Bezel 18K Yellow Gold Watch 18038,15750.0,$,129,Automatic,Yellow gold,1989,Very good,18038,"Original box, no original papers","United States of America, Florida, Aventura",36.0,https://www.chrono24.com/rolex/rolex-day-date-36mm-mop-diamond-dial-bezel-18k-yellow-gold-watch-18038--id39028221.htm,Aventura,United States of America.,US
Panerai,Luminor Submersible,Black Dial Steel Ceramic Bezel Diver Pam683 42,5830.0,$,239,Automatic,Steel,2019,Good,PAM 00683,"Original papers, no original box","United States of America, Florida, Miami",42.0,https://www.chrono24.com/panerai/panerai-luminor-submersible-black-dial-steel-ceramic-bezel-diver-pam683-42--id39278146.htm,Jefferson,United States of America.,US
Rolex,Daytona,John Mayer Unworn Full Set 116508,72880.0,$,150,Automatic,Yellow gold,2019,Like new & unworn,116508,"Original box, original papers","United States of America, Florida, Miami",40.0,https://www.chrono24.com/rolex/daytona-john-mayer-unworn-full-set-116508--id31868020.htm,Miami,United States of America.,US
Omega,Seamaster Aqua Terra,Master Chronometer 150M 38mm Black Dial 2023 220.10.38.20.01.001,4499.0,$,250,Automatic,Steel,2023,Very good,220.10.38.20.01.001,"Original box, original papers","United States of America, Florida, Coral Gables",38.0,https://www.chrono24.com/omega/omega-seamaster-aqua-terra-master-chronometer-150m-38mm-black-dial-2023-22010382001001--id37634283.htm,Coral Gables,United States of America.,US
Rolex,GMT-Master II,Two Tone Yellow Gold Black Ceramic Bezel Oyster Bracelet,12995.0,$,245,Automatic,Gold/Steel,2007,Very good,116713LN,"Original box, no original papers","United States of America, California, Newport Beach",40.0,https://www.chrono24.com/rolex/rolex-rolex-gmt-master-ii-two-tone-yellow-gold-black-ceramic-bezel-oyster-bracelet--id38878868.htm,Newport Beach,United States of America.,US
Patek Philippe,Annual Calendar Chronograph,2025 New 5961P - Complications Matte blue opaline Dial Platinum 40.5 mm,185456.0,$,0,Automatic,Platinum,2025,New,5961P-001,"Original box, original papers","United States of America, New York, New York",40.5,https://www.chrono24.com/patekphilippe/patek-philippe-2025-new-5961p---complications-matte-blue-opaline-dial-platinum-405-mm--id37882389.htm,New York,United States of America.,US
Rolex,Submariner Date,126610LN,10899.0,$,299,Automatic,Steel,2020,Fair,126610LN,"Original box, no original papers","United States of America, Florida, Miami",41.0,https://www.chrono24.com/rolex/rolex-submariner-date--id38840005.htm,Miami,United States of America.,US
Tudor,Black Bay Fifty-Eight,2025,3699.0,$,199,Automatic,Steel,2025,New,M79030N-0001,"Original box, original papers","United States of America, Florida, SUNNY ISLES BEACH",39.0,https://www.chrono24.com/tudor/tudor-black-bay-fifty-eight-2025--id38537989.htm,SUNNY ISLES BEACH,United States of America.,US
IWC,Pilot Chronograph,AMG Petronas Complete/Full Set Box & Papers Mint Blue Rubber,7197.0,$,400,Automatic,Titanium,2024,Very good,IW388108,"Original box, original papers","United States of America, Michigan, Troy",41.0,https://www.chrono24.com/iwc/iwc-pilot-chronograph-amg-petronas-completefull-set-box--papers-mint-blue-rubber--id38259317.htm,Troy,United States of America.,US
Rolex,Submariner Date,16610,8499.0,$,150,Automatic,Steel,2007,Good,16610,"No original box, no original papers","United States of America, Texas, Austin",40.0,https://www.chrono24.com/rolex/submariner-date--id38635786.htm,Austin,United States of America.,US
Omega,Seamaster Diver 300 M,41mm Blue Bezel Blue Dial Watch 212.30.41.20.03.001,3850.0,$,129,Automatic,Steel,2017,Good,212.30.41.20.03.001,"Original box, original papers","United States of America, Florida, Aventura",41.0,https://www.chrono24.com/omega/omega-seamaster-diver-300m-41mm-blue-bezel-blue-dial-watch-21230412003001--id37205199.htm,Aventura,United States of America.,US
